2021-02-08 15:18:23.375 | DEBUG | http-nio-8090-exec-2 | com.alibaba.druid.pool.PreparedStatementPool-line:129 | {conn-10010, pstmt-20000} enter cache
2021-02-08 15:18:24.376 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==>  Preparing: SELECT * FROM user WHERE USER_NAME = ?
2021-02-08 15:18:24.376 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==> Parameters: admin(String)
2021-02-08 15:18:24.378 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | <==      Total: 1
2021-02-08 15:18:24.380 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.admin.dao.UserRoleDao.findByUserId-line:137 | ==>  Preparing: SELECT * FROM user_role WHERE USER_ID = ?
2021-02-08 15:18:24.381 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.admin.dao.UserRoleDao.findByUserId-line:137 | ==> Parameters: 1(Long)
2021-02-08 15:18:24.383 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.admin.dao.UserRoleDao.findByUserId-line:137 | <==      Total: 1
2021-02-08 15:18:24.384 | DEBUG | http-nio-8090-exec-2 | com.alibaba.druid.pool.PreparedStatementPool-line:129 | {conn-10010, pstmt-20001} enter cache
2021-02-08 15:18:24.385 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==>  Preparing: SELECT * FROM menu WHERE ID <> 0 ORDER BY ORDER_NUM ASC
2021-02-08 15:18:24.386 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==> Parameters: 
2021-02-08 15:18:24.395 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | <==      Total: 22
2021-02-08 15:18:24.396 | DEBUG | http-nio-8090-exec-2 | com.alibaba.druid.pool.PreparedStatementPool-line:129 | {conn-10010, pstmt-20002} enter cache
2021-02-08 15:18:24.397 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==>  Preparing: SELECT * FROM menu WHERE ID <> 0 ORDER BY ORDER_NUM ASC
2021-02-08 15:18:24.397 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==> Parameters: 
2021-02-08 15:18:24.402 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | <==      Total: 22
2021-02-08 15:25:16.710 | DEBUG | http-nio-8090-exec-7 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==>  Preparing: SELECT * FROM user WHERE USER_NAME = ?
2021-02-08 15:25:16.711 | DEBUG | http-nio-8090-exec-7 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==> Parameters: admin(String)
2021-02-08 15:25:16.713 | DEBUG | http-nio-8090-exec-7 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | <==      Total: 1
2021-02-08 15:27:13.285 | DEBUG | main | com.CloudBranchApplication-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
